row,disease,gene_symbol,candidate_drug,verdict,confidence,phase_this_disease,phase_other_disease,ema_status,disease_has_any_drug_record,source,ref,basis,note
955,familial male-limited precocious puberty,LHCGR,ketoconazole,downstream_match,high,off_label_case,approved,positive,yes,ctgov,NCT00094328,"NCT00094328 (testotoxicosis trial) inclusion criteria: 'Naive to anti androgen receptor therapy: (Note: Ketoconazole and Spironolactone are considered acceptable as is prior use of anastrozole or other aromatase inhibitors)' and 'for subjects who have previously received ketoconazole or spironolactone treatment, a documented reliable height measurement taken immediately prior to beginning this treatment.'","Read with care before using. There is no ketoconazole indication record for this disease anywhere: all 45 ChEMBL ketoconazole rows read, none for precocious puberty; MONDO_0008303 in Open Targets lists only anastrozole and bicalutamide. The only source evidence is inside another drug's trial protocol, where prior ketoconazole treatment of enrolled testotoxicosis boys is written into the eligibility criteria - i.e. documented off-label use in this disease, not a ketoconazole study. A reader who requires the drug to be a trial intervention should downgrade this to not_found. EMA for ketoconazole: EU/3/12/1031 and EU/3/12/965 'Treatment of Cushing's syndrome' (Positive / Expired) and EU/3/17/1857 'granulosa cell tumours' (Positive); EU/3/12/1012 belongs to '2S, 4R ketoconazole' (levoketoconazole), a different molecule. None relates to precocious puberty; I recorded the Positive Cushing's designation as the closest steroidogenesis-inhibition use."
1002,glycogen storage disease due to muscle and heart glycogen synthase deficiency,GYS1,triheptanoin,downstream_match,medium,off_label_case,approved,positive,yes,ctgov,NCT01461304,"Open Targets clinical_indication row: drugId CHEMBL4297585, diseaseId MONDO_0002412 'disorder of glycogen metabolism', maxClinicalStage UNKNOWN, clinicalReportIds [nct01461304]. NCT01461304 (study_type EXPANDED_ACCESS, no phase): ""This study is also open to patients with any type of glycogen storage disease, pyruvate carboxylase deficiency, or Barth Syndrome""; inclusion criteria ""Diagnosis of disorder in long chain fatty acid oxidation, glycogen storage disease, pyruvate carboxylase deficiency, or Barth Syndrome""","NEW TYPE: expanded-access record standing in for a trial. The only source record that reaches this disease is an Open Targets clinical_indication row whose backing 'clinical report' is a compassionate-use / EXPANDED_ACCESS protocol with no phase and no endpoint, mapped onto the broad node 'disorder of glycogen metabolism'. GSD due to muscle-and-heart glycogen synthase deficiency (GYS1, GSD 0b) falls inside that protocol's open eligibility, but no patient with this genotype is documented and there is no controlled study - hence off_label_case rather than trial. Anyone scoring maxClinicalStage mechanically would read this row as a clinical stage for the disease; it is not one. No GYS1-specific record exists anywhere: ChEMBL has 0 rows for any glycogen-synthase-deficiency term, and Open Targets has 0 rows for MONDO_0012693 and Orphanet_308520. Triheptanoin's own ChEMBL glycogen rows are other GSDs (GSD V 2.0 NCT02432768/NCT02919631, GSD VII 2.0 NCT03642860, GSD I 0.5 NCT03665636). EMA: triheptanoin holds 10 designations; the closest is EU/3/16/1710 'Treatment of McArdle's disease' (GSD V, Positive) - recorded here - the others being fatty-acid-oxidation disorders (EU/3/20/2360, EU/3/20/2302, EU/3/15/1526, EU/3/15/1525, EU/3/15/1524, EU/3/15/1508, all Positive) plus EU/3/15/1495 (GLUT1 deficiency, Withdrawn), EU/3/12/1081 and EU/3/12/1082 (Withdrawn). None is for GSD 0b. phase_other_disease=approved rests on drug_molecule.maximumClinicalStage=APPROVAL for CHEMBL4297585; both indication tables top out at phase 3 for triheptanoin, so that OT field is uncorroborated inside these sources."
1145,glycine encephalopathy,GCSH,Benzoate,downstream_match,medium,off_label_case,trial,positive,yes,ema,EU/3/02/111,"EMA: {Medicine name: Prohippur, Active substance: 'benzoic acid, sodium salt', Date of designation: 11/09/2002, Intended use: 'Treatment of non-ketotic hyperglycinaemia', EU designation number: EU/3/02/111, Status: Positive}","Read this verdict narrowly. 'Benzoate' resolved to SODIUM BENZOATE CHEMBL1356. The ONLY source record tying this drug to this disease is the orphan designation above - non-ketotic hyperglycinaemia is the same disease as glycine encephalopathy. A designation is not an approval and not a trial: sodium benzoate has no ChEMBL row for any glycine-encephalopathy term (its ChEMBL rows are psychosis 2.0 and Encephalopathy 2.0 / NCT00597909, which is a hepatic-encephalopathy study, not this disease), no Open Targets row for it (urea cycle disorder PHASE_2, schizophrenia PHASE_2_3, Alzheimer PHASE_2 - hence phase_other_disease=trial), and a ClinicalTrials.gov search for benzoate in nonketotic hyperglycinemia / glycine encephalopathy returned 0 studies. off_label_case rather than not_found because unlicensed clinical use in this disease is what the designation is premised on; the clinical-practice part of that is model knowledge, not a source. Sodium benzoate holds many other designations (urea cycle disorders: EU/3/16/1705-1708, EU/3/15/1600-1601, EU/3/16/1729-1730, EU/3/16/1787-1788, EU/3/19/2166) - EU/3/02/111 is the one matching this disease."
1255,hereditary angioedema with normal C1Inh,F12,Icatibant,downstream_match,high,off_label_case,approved,expired,yes,chembl,EMEA/H/C/000899,"chembl_drug_indication drugind_id 137348: efo_id MONDO:0019623, efo_term ""hereditary angioedema"", mesh_heading ""Angioedemas, Hereditary"", max_phase_for_ind ""4.0"", molecule_chembl_id CHEMBL2028852 (parent CHEMBL2028850), indication_refs NCT00517582 + DailyMed ed6657ca + EMA EMEA/H/C/000899 (firazyr)","The phase-4 row is on the parent term ""hereditary angioedema""; the Firazyr authorisation is for HAE with C1-esterase-inhibitor deficiency (types I/II), so this is the parent-to-subtype bleed the brief warns about (cf. eliglustat/Gaucher type 3). Neither ChEMBL nor OT has any record under the nC1Inh subtype itself (OT disease MONDO_0100567 ""hereditary angioedema with normal C1Inh"" has zero clinical_indication rows; MONDO_0012526 ""hereditary angioedema type 3"" also zero). Icatibant use in F12-HAE/HAE-nC1INH is off-label. EMA orphan EU/3/03/133 (icatibant acetate, ""Treatment of angioedema"") is Expired, i.e. the term lapsed - Firazyr's marketing authorisation is live."
1376,Crigler-Najjar syndrome type 2,UGT1A1,Phenobarbital,causal_match,high,off_label_case,approved,none,yes,ctgov,NCT00461799,"ClinicalTrials.gov NCT00461799, detailed description: 'Unconjugated hyperbilirubinemia in Crigler-Najjar (CN) disease is conventionally treated with phototherapy and/or phenobarbital.'","The quoted sentence is the background of somebody else's trial (orlistat, row 1377) describing conventional care, not a trial of phenobarbital - read it that way. Phenobarbital has no ChEMBL, Open Targets or EMA record for Crigler-Najjar (its rows are epilepsy/seizure 4.0, status epilepticus, neonatal abstinence syndrome, etc.), and a ClinicalTrials.gov search for condition 'Crigler-Najjar syndrome' with intervention phenobarbital returned 0 studies. Type 2 (Arias) is the phenobarbital-responsive form, so the off-label use maps to this row specifically. Crigler-Najjar syndrome itself appears in the sources (ChEMBL MONDO:0009044 phase 1 volrubigene ralaparvovec; EMA EU/3/07/506, EU/3/16/1684, EU/3/14/1338 Positive, EU/3/14/1321 and EU/3/16/1772 Withdrawn)."
52,adrenoleukodystrophy,ABCD1,sobetirome,causal_match,medium,preclinical,none,none,yes,ctgov,NCT01787578,"ClinicalTrials.gov NCT01787578: ""A Prospective Safety, Tolerance, Pharmacodynamics and Pharmacokinetics Study of Sobetirome in Male Subjects Diagnosed With X-linked Adrenoleukodystrophy (X-ALD)"" - status WITHDRAWN, enrollment 0; and NCT03196765: ""Phase I/II, Open-Label, Dose Escalation Study of the Safety, Pharmacokinetics and Pharmacodynamics of NV1205 in Pediatric Male Subjects With Childhood Cerebral Adrenoleukodystrophy (CCALD)"" - status WITHDRAWN, enrollment 0","Sobetirome = CHEMBL107400 (NV1205, GC-1). ChEMBL records it at phase 1 for this disease ({""efo_id"": ""Orphanet:43"", ""efo_term"": ""X-linked adrenoleukodystrophy"", ""max_phase_for_ind"": ""1.0"", ""indication_refs"": [{""ref_id"": ""NCT01787578,NCT03196765""}]}, plus MONDO:0015339 adrenomyeloneuropathy phase 1), and opentargets clinical_indication gives CHEMBL107400 / Orphanet_43 PHASE_1 - but both cited registrations are the only sobetirome studies on ClinicalTrials.gov and BOTH are WITHDRAWN with enrolment 0. No patient with adrenoleukodystrophy ever received the drug in a registered trial, so the phase 1 label in ChEMBL and Open Targets reflects a registration, not a conducted study; I record preclinical. A reader who counts a registered-but-withdrawn IND as ""trial"" can reverse this call from the two NCTs given. Other disease: none in the sources - sobetirome's only opentargets indication is this disease. No EMA orphan designation for sobetirome (0 rows); the disease itself carries several (EU/3/22/2720, EU/3/16/1669, EU/3/19/2236, EU/3/21/2520, EU/3/14/1245, EU/3/12/1003) for other substances."
564,cystic fibrosis,CFTR,riselcaftor,causal_match,medium,preclinical,none,none,yes,chembl,INN:PL130,"ChEMBL: molecule_chembl_id CHEMBL6068031, efo_term ""cystic fibrosis"", max_phase_for_ind ""2.0"", indication_refs [{""ref_type"":""INN"",""ref_id"":""PL130""}]; Open Targets drug_molecule CHEMBL6068031 maximumClinicalStage ""UNKNOWN""","NEW TYPE: registry-listing-only row carrying a phase number with no trial behind it. The single ChEMBL record cites nothing but the INN proposed-list entry PL130 - a name-registration document, not a study - yet it reports max_phase_for_ind 2.0. Open Targets independently gives maximumClinicalStage UNKNOWN, and a ClinicalTrials.gov intervention search for ""riselcaftor"" returns 0 trials (count_total confirmed 0). Riselcaftor has no synonyms in drug_molecule other than its own name, so a code-name trial could not be located. Verdict ""preclinical"" is my reading of that evidence, not a source statement: if the drug is running under an unmapped code name, this should be read as ""trial"" instead. The same INN/USAN-only pattern appears on the votoplam and sevasemten DMD rows, where trials do exist."
36,fish eye disease,LCAT,lamotrigine,mismatch,high,not_treatment,approved,none,yes,ctgov,NCT01618825,"ClinicalTrials.gov NCT01618825: ""An Open Label, Randomized, Two-Period, Two-Treatment, Two-Sequence, Crossover, Balanced, Single Dose Oral Bioequivalence Study of Lamotrigine Tablets 25 mg (2 x 25 mg Tablets) and 'LAMICTAL' (Lamotrigine) Tablets 25 mg (2 x 25 mg Tablets) in Healthy Adult Human Subjects Under Fed Conditions."" (conditions: [""Fed""], healthy_volunteers: Yes, PHASE1, COMPLETED, n=28, sponsor IPCA Laboratories Ltd.)","Identifier mis-expansion trap: ChEMBL expanded the trial-condition string ""Fed"" into Fish-Eye Disease (Orphanet:79292). The ChEMBL row is {""molecule_chembl_id"": ""CHEMBL741"", ""parent_molecule_chembl_id"": ""CHEMBL741"", ""efo_id"": ""Orphanet:79292"", ""efo_term"": ""Fish-eye disease"", ""mesh_heading"": ""Lecithin Cholesterol Acyltransferase Deficiency"", ""max_phase_for_ind"": ""1.0"", ""indication_refs"": [{""ref_id"": ""NCT01618825""}]}. The cited NCT is NCT01618825: ""An Open Label, Randomized, Two-Period, Two-Treatment, Two-Sequence, Crossover, Balanced, Single Dose Oral Bioequivalence Study of Lamotrigine Tablets 25 mg (2 x 25 mg Tablets) and 'LAMICTAL' (Lamotrigine) Tablets 25 mg (2 x 25 mg Tablets) in Healthy Adult Human Subjects Under Fed Conditions."" (sponsor IPCA Laboratories Ltd., healthy volunteers, condition field = ""Fed"", n=28) - a bioequivalence study in healthy adults, not treatment of fish eye disease. All 20 Orphanet:79292 rows in chembl_drug_indication.jsonl are of this kind and all are phase 1. Fish eye disease is absent from opentargets clinical_indication entirely (0 rows for MONDO_0007620 and Orphanet_79292); the only genuine records for this disease in the sources are EMA orphan designations under the broader name lecithin-cholesterol acyltransferase deficiency (EU/3/21/2490 recombinant human apolipoprotein A-I, Positive; EU/3/12/1051 recombinant human lecithin cholesterol acyltransferase, Withdrawn), which is why disease_has_any_drug_record is yes. Lamotrigine (CHEMBL741) holds no EMA orphan designation (0 rows in ema_orphan_designations.xlsx). Other disease: lamotrigine is approved for epilepsy (opentargets clinical_indication CHEMBL741 / MONDO_0005027 epilepsy APPROVAL)."
37,fish eye disease,LCAT,levocetirizine dihydrochloride,mismatch,high,not_treatment,approved,none,yes,ctgov,NCT01567501,"ClinicalTrials.gov NCT01567501: ""A Randomized, Open Label, Balanced, Two-Treatment, Two-Period, Two-Sequence, Single Dose, Crossover, Bioequivalence Study of Levocetirizine Dihydrochloride 5 mg Tablets With Xyzal 5 mg Tablets in Normal, Healthy, Adult, Human Subjects Under Fed Condition"" (conditions: [""Fed""], healthy_volunteers: Yes, PHASE1, COMPLETED, n=28, sponsor IPCA Laboratories Ltd.)","Identifier mis-expansion trap: ChEMBL expanded the trial-condition string ""Fed"" into Fish-Eye Disease (Orphanet:79292). The ChEMBL row is {""molecule_chembl_id"": ""CHEMBL1201190"", ""parent_molecule_chembl_id"": ""CHEMBL1201191"", ""efo_id"": ""Orphanet:79292"", ""efo_term"": ""Fish-eye disease"", ""mesh_heading"": ""Lecithin Cholesterol Acyltransferase Deficiency"", ""max_phase_for_ind"": ""1.0"", ""indication_refs"": [{""ref_id"": ""NCT01567501""}]}. The cited NCT is NCT01567501: ""A Randomized, Open Label, Balanced, Two-Treatment, Two-Period, Two-Sequence, Single Dose, Crossover, Bioequivalence Study of Levocetirizine Dihydrochloride 5 mg Tablets With Xyzal 5 mg Tablets in Normal, Healthy, Adult, Human Subjects Under Fed Condition"" (sponsor IPCA Laboratories Ltd., healthy volunteers, condition field = ""Fed"", n=28) - a bioequivalence study in healthy adults, not treatment of fish eye disease. All 20 Orphanet:79292 rows in chembl_drug_indication.jsonl are of this kind and all are phase 1. Fish eye disease is absent from opentargets clinical_indication entirely (0 rows for MONDO_0007620 and Orphanet_79292); the only genuine records for this disease in the sources are EMA orphan designations under the broader name lecithin-cholesterol acyltransferase deficiency (EU/3/21/2490 recombinant human apolipoprotein A-I, Positive; EU/3/12/1051 recombinant human lecithin cholesterol acyltransferase, Withdrawn), which is why disease_has_any_drug_record is yes. Levocetirizine dihydrochloride (CHEMBL1201190, parent levocetirizine CHEMBL1201191) holds no EMA orphan designation (0 rows in ema_orphan_designations.xlsx). Other disease: levocetirizine is approved for allergic disease and urticaria (opentargets clinical_indication CHEMBL1201191 / MONDO_0005271 APPROVAL, CHEMBL1201190 / MONDO_0005492 APPROVAL)."
38,fish eye disease,LCAT,ondansetron,mismatch,high,not_treatment,approved,none,yes,ctgov,NCT01578265,"ClinicalTrials.gov NCT01578265: ""A Randomized, Open Label, Balanced, Two-Treatment, Two-Period, Two-Sequence, Single Dose, Crossover, Bioequivalence Study of Ondansetron Tablets USP 8 mg With Zofran 8 mg in Normal, Healthy, Adult, Human Subjects Under Fed Condition."" (conditions: [""Fed""], healthy_volunteers: Yes, PHASE1, COMPLETED, n=48, sponsor IPCA Laboratories Ltd.)","Identifier mis-expansion trap: ChEMBL expanded the trial-condition string ""Fed"" into Fish-Eye Disease (Orphanet:79292). The ChEMBL row is {""molecule_chembl_id"": ""CHEMBL46"", ""parent_molecule_chembl_id"": ""CHEMBL46"", ""efo_id"": ""Orphanet:79292"", ""efo_term"": ""Fish-eye disease"", ""mesh_heading"": ""Lecithin Cholesterol Acyltransferase Deficiency"", ""max_phase_for_ind"": ""1.0"", ""indication_refs"": [{""ref_id"": ""NCT01578265""}]} (the salt CHEMBL3186492 carries the identical row). The cited NCT is NCT01578265: ""A Randomized, Open Label, Balanced, Two-Treatment, Two-Period, Two-Sequence, Single Dose, Crossover, Bioequivalence Study of Ondansetron Tablets USP 8 mg With Zofran 8 mg in Normal, Healthy, Adult, Human Subjects Under Fed Condition."" (sponsor IPCA Laboratories Ltd., healthy volunteers, condition field = ""Fed"", n=48) - a bioequivalence study in healthy adults, not treatment of fish eye disease. All 20 Orphanet:79292 rows in chembl_drug_indication.jsonl are of this kind and all are phase 1. Fish eye disease is absent from opentargets clinical_indication entirely (0 rows for MONDO_0007620 and Orphanet_79292); the only genuine records for this disease in the sources are EMA orphan designations under the broader name lecithin-cholesterol acyltransferase deficiency (EU/3/21/2490 recombinant human apolipoprotein A-I, Positive; EU/3/12/1051 recombinant human lecithin cholesterol acyltransferase, Withdrawn), which is why disease_has_any_drug_record is yes. Ondansetron (CHEMBL46) holds no EMA orphan designation (0 rows in ema_orphan_designations.xlsx). Other disease: ondansetron is approved for post-operative nausea and vomiting (opentargets clinical_indication CHEMBL46 / EFO_0004888 APPROVAL)."
40,fish eye disease,LCAT,olanzapine,mismatch,high,not_treatment,approved,none,yes,ctgov,NCT01503424,"ClinicalTrials.gov NCT01503424: ""An Open Label, Balanced, Randomized, Two-treatment, Two-period, Two-sequence, Single Oral Dose, Crossover, Bioequivalence Study of Olanzapine Tablets 5 mg With Zyprexa Tablets 5 mg in Healthy Subjects Under Fed Conditions"" (conditions: [""Fed""], healthy_volunteers: Yes, PHASE1, COMPLETED, n=48, sponsor Dr. Reddy's Laboratories Limited)","Identifier mis-expansion trap: ChEMBL expanded the trial-condition string ""Fed"" into Fish-Eye Disease (Orphanet:79292). The ChEMBL row is {""molecule_chembl_id"": ""CHEMBL715"", ""parent_molecule_chembl_id"": ""CHEMBL715"", ""efo_id"": ""Orphanet:79292"", ""efo_term"": ""Fish-eye disease"", ""mesh_heading"": ""Lecithin Cholesterol Acyltransferase Deficiency"", ""max_phase_for_ind"": ""1.0"", ""indication_refs"": [{""ref_id"": ""NCT01503424,NCT01503450""}]}. The cited NCT is NCT01503424: ""An Open Label, Balanced, Randomized, Two-treatment, Two-period, Two-sequence, Single Oral Dose, Crossover, Bioequivalence Study of Olanzapine Tablets 5 mg With Zyprexa Tablets 5 mg in Healthy Subjects Under Fed Conditions"" (sponsor Dr. Reddy's Laboratories Limited, healthy volunteers, condition field = ""Fed"", n=48) - a bioequivalence study in healthy adults, not treatment of fish eye disease. All 20 Orphanet:79292 rows in chembl_drug_indication.jsonl are of this kind and all are phase 1. Fish eye disease is absent from opentargets clinical_indication entirely (0 rows for MONDO_0007620 and Orphanet_79292); the only genuine records for this disease in the sources are EMA orphan designations under the broader name lecithin-cholesterol acyltransferase deficiency (EU/3/21/2490 recombinant human apolipoprotein A-I, Positive; EU/3/12/1051 recombinant human lecithin cholesterol acyltransferase, Withdrawn), which is why disease_has_any_drug_record is yes. Olanzapine (CHEMBL715) holds no EMA orphan designation (0 rows in ema_orphan_designations.xlsx). Other disease: olanzapine is approved for bipolar disorder (opentargets clinical_indication CHEMBL715 / MONDO_0004985 APPROVAL)."
41,fish eye disease,LCAT,indomethacin,mismatch,high,not_treatment,approved,none,yes,ctgov,NCT01722110,"ClinicalTrials.gov NCT01722110: ""A Randomized, Balanced, Open Label, Two Treatment, Two Period, Two Sequence, Single Dose, Crossover, Bioequivalence Study of Indomethacin Extended-Release Capsules 75 mg of Ipca Laboratories Ltd., With Indomethacin Extended-Release Capsules USP 75 mg of Epic Pharma, USA, in Normal, Healthy, Adult, Male and Female Human Subjects Under Fed Conditions."" (conditions: [""Fed""], healthy_volunteers: Yes, PHASE1, COMPLETED, n=32, sponsor IPCA Laboratories Ltd.)","Identifier mis-expansion trap: ChEMBL expanded the trial-condition string ""Fed"" into Fish-Eye Disease (Orphanet:79292). The ChEMBL row is {""molecule_chembl_id"": ""CHEMBL6"", ""parent_molecule_chembl_id"": ""CHEMBL6"", ""efo_id"": ""Orphanet:79292"", ""efo_term"": ""Fish-eye disease"", ""mesh_heading"": ""Lecithin Cholesterol Acyltransferase Deficiency"", ""max_phase_for_ind"": ""1.0"", ""indication_refs"": [{""ref_id"": ""NCT01722110""}]}. The cited NCT is NCT01722110: ""A Randomized, Balanced, Open Label, Two Treatment, Two Period, Two Sequence, Single Dose, Crossover, Bioequivalence Study of Indomethacin Extended-Release Capsules 75 mg of Ipca Laboratories Ltd., With Indomethacin Extended-Release Capsules USP 75 mg of Epic Pharma, USA, in Normal, Healthy, Adult, Male and Female Human Subjects Under Fed Conditions."" (sponsor IPCA Laboratories Ltd., healthy volunteers, condition field = ""Fed"", n=32) - a bioequivalence study in healthy adults, not treatment of fish eye disease. All 20 Orphanet:79292 rows in chembl_drug_indication.jsonl are of this kind and all are phase 1. Fish eye disease is absent from opentargets clinical_indication entirely (0 rows for MONDO_0007620 and Orphanet_79292); the only genuine records for this disease in the sources are EMA orphan designations under the broader name lecithin-cholesterol acyltransferase deficiency (EU/3/21/2490 recombinant human apolipoprotein A-I, Positive; EU/3/12/1051 recombinant human lecithin cholesterol acyltransferase, Withdrawn), which is why disease_has_any_drug_record is yes. Indomethacin (CHEMBL6) holds no EMA orphan designation (0 rows in ema_orphan_designations.xlsx). Other disease: indomethacin is approved for spondylitis and other inflammatory indications (opentargets clinical_indication CHEMBL6 / MONDO_0003937 APPROVAL)."
680,autosomal dominant hypophosphatemic rickets,FGF23,Oral phosphate with calcitriol,downstream_match,medium,not_found,approved,none,no,ctgov,NCT03748966,"chembl_drug_indication: 'CHEMBL846 | max_phase_for_ind 0.5 | MONDO:0024300 hypophosphatemic rickets | NCT03748966' and 'CHEMBL846 | max_phase_for_ind 0.5 | Orphanet:89936 X-linked hypophosphatemia | NCT03748966'; NCT03748966 title 'Calcitriol Monotherapy for X-Linked Hypophosphatemia: Effects on Mineral Ions, Growth and Skeletal Parameters', inclusion 'Clinical diagnosis of XLH with family history excluding male-to-male transmission, or positive genotype for PHEX mutation'","Input is a combination string; resolved to CALCITRIOL CHEMBL846 plus POTASSIUM PHOSPHATE, UNSPECIFIED FORM CHEMBL4298074 (whose only ChEMBL row is hypoglycaemia 0.5). NEW TYPE: subtype trial filed under the parent disease term (the mirror image of the listed parent-to-subtype phase-4 bleed). The single hypophosphatemic-rickets record in ChEMBL is NCT03748966, which requires a PHEX genotype or XLH family history, so it is XLH-only and does not cover autosomal dominant (FGF23) hypophosphatemic rickets; it is also calcitriol monotherapy explicitly without phosphate, i.e. not the input combination. Reading only the parent term would have produced a false positive for ADHR. phase_other_disease=approved for calcitriol (max_phase 4.0 hypocalcaemia, hypoparathyroidism, psoriasis, chronic kidney disease; OT APPROVAL rows with DailyMed setids and ATC d05ax03). ema_status=none: neither calcitriol nor phosphate holds a designation; the FGF23 designation in this space is 'recombinant human monoclonal IgG1 antibody for fibroblast growth factor 23 (burosumab) | Treatment of X-linked hypophosphataemia | EU/3/14/1351 | Positive' - a different molecule and a different disease."
683,amyotrophic lateral sclerosis type 4,SETX,Ubiquinone (coenzyme Q10),symptomatic,low,not_found,approved,none,yes,ctgov,NCT00243932,"chembl_drug_indication: 'CHEMBL454801 (UBIDECARENONE) | max_phase_for_ind 2.0 | MONDO:0004976 amyotrophic lateral sclerosis | NCT00243932'; NCT00243932 inclusion 'Clinical diagnosis of definite, probable, or laboratory-supported probable ALS', 'Age 21 to 85 years, inclusive', 'Disease duration of less than 5 years'","Ubiquinone/CoQ10 resolved to UBIDECARENONE CHEMBL454801 (DECYLUBIQUINONE CHEMBL217894 is a different molecule and was excluded). The only ALS record is the phase-2 Columbia trial NCT00243932, which enrolled El Escorial definite/probable ALS aged 21-85 with disease duration under 5 years - ALS4 is juvenile-onset SETX disease with a decades-long course, so those patients are effectively excluded; per the named-genetic-subtype rule I did not carry the generic ALS record over to ALS4. phase_other_disease=approved on OT clinical_indication 'drugId CHEMBL454801 / diseaseId MONDO_0004995 (cardiovascular disorder) / APPROVAL' backed by ATC c01eb09. ema_status=none for ubidecarenone: the CoQ10 designation 'ubiquinol | Treatment of primary coenzyme Q10 deficiency syndrome | EU/3/16/1765 | Positive' is a different molecule (reduced form). disease_has_any_drug_record=yes only via generic ALS (145 ChEMBL rows) and 'familial amyotrophic lateral sclerosis' (2 rows); nothing is SETX/ALS4-specific and MONDO_0011223 has no OT clinical_indication row."
722,hereditary spastic paraplegia 26,B4GALNT1,miglustat,mismatch,medium,not_found,approved,expired,no,ctgov,NCT04768166,"NCT04768166 ""Phase 2 Pharmacological Trial to Evaluate the Safety of Miglustat Administration in Subjects With Spastic Paraplegia 11 (TreatSPG11)""; Inclusion Criteria: ""Confirmed diagnosis of SPG11""","Near miss that does not hold. ChEMBL has ""ph2.0 | MONDO:0019064 | hereditary spastic paraplegia | Spastic Paraplegia, Hereditary | mol=CHEMBL1029 | NCT04768166"", a parent-term row that would look like coverage of HSP26. Opening the NCT shows it enrolled SPG11 (spatacsin) patients only, so the record does not reach SPG26/B4GALNT1; hereditary spastic paraplegia is in any case a broad clinical category, not a containing indication. hereditary spastic paraplegia 26 (MONDO:0012213) itself appears in no drug record. EMA: miglustat's three designations (EU/3/06/351 NPC Expired - recorded here as closest; EU/3/20/2349 NCL Positive; EU/3/18/2129 Pompe Withdrawn) none relate to this disease."
737,ALG1-congenital disorder of glycosylation,ALG1,D-mannose,downstream_match,medium,not_found,trial,none,no,ctgov,NCT03404869,"NCT03404869 title ""Study of ORL-1M (D-mannose) in Patients With CDG-Ib""; conditions [""CDG Ib""]; Inclusion Criteria: ""Diagnosis of CGD-1b""","ALG1-congenital disorder of glycosylation (MONDO:0012052) appears in no drug record in ChEMBL or Open Targets clinical_indication. D-mannose resolves to CHEMBL469448. ChEMBL gives it ""ph1.0 | MONDO:0015286 | congenital disorder of glycosylation | Congenital Disorders of Glycosylation | NCT03404869"" - a parent-term row. NCT03404869 is ""Study of ORL-1M (D-mannose) in Patients With CDG-Ib"", conditions ""CDG Ib"", inclusion ""Diagnosis of CGD-1b"": MPI-CDG only, the one subtype where oral mannose bypasses the enzymatic block. Open Targets records the same trial correctly as MONDO_0011257 MPI-congenital disorder of glycosylation, PHASE_1_2. So the broad ChEMBL row does not reach any ALG-subtype CDG, and ""congenital disorder of glycosylation"" is a broad category rather than a containing indication. phase_other_disease=trial rests on that MPI-CDG record plus ""ph2.0 | EFO:0003103 | urinary tract infection | NCT03395288""; note drug_molecule.description claims ""an approval for urinary tract infection"" that neither ChEMBL (phase 2) nor clinical_indication (PHASE_3) supports. EMA: mannose-name hits are all other molecules (liposomal mannose-1-phosphate EU/3/18/2047 for PMM2-CDG, mannose-6-phosphate tagged enzymes for Pompe); none is D-mannose."
738,ALG2-congenital disorder of glycosylation,ALG2,D-mannose,downstream_match,medium,not_found,trial,none,no,ctgov,NCT03404869,"NCT03404869 title ""Study of ORL-1M (D-mannose) in Patients With CDG-Ib""; conditions [""CDG Ib""]; Inclusion Criteria: ""Diagnosis of CGD-1b""","ALG2-congenital disorder of glycosylation (MONDO:0011933) appears in no drug record in ChEMBL or Open Targets clinical_indication. D-mannose resolves to CHEMBL469448. ChEMBL gives it ""ph1.0 | MONDO:0015286 | congenital disorder of glycosylation | Congenital Disorders of Glycosylation | NCT03404869"" - a parent-term row. NCT03404869 is ""Study of ORL-1M (D-mannose) in Patients With CDG-Ib"", conditions ""CDG Ib"", inclusion ""Diagnosis of CGD-1b"": MPI-CDG only, the one subtype where oral mannose bypasses the enzymatic block. Open Targets records the same trial correctly as MONDO_0011257 MPI-congenital disorder of glycosylation, PHASE_1_2. So the broad ChEMBL row does not reach any ALG-subtype CDG, and ""congenital disorder of glycosylation"" is a broad category rather than a containing indication. phase_other_disease=trial rests on that MPI-CDG record plus ""ph2.0 | EFO:0003103 | urinary tract infection | NCT03395288""; note drug_molecule.description claims ""an approval for urinary tract infection"" that neither ChEMBL (phase 2) nor clinical_indication (PHASE_3) supports. EMA: mannose-name hits are all other molecules (liposomal mannose-1-phosphate EU/3/18/2047 for PMM2-CDG, mannose-6-phosphate tagged enzymes for Pompe); none is D-mannose."
